ID,name,Handedness,Height,weight,BattingAvg,HR
1066,Ron Brand,RightHanded,67,167,0.239,3
472,Vic Davalillo,LeftHanded,67,150,0.279,36
673,Joe Morgan,LeftHanded,67,160,0.271,268
130,Dick Howser,RightHanded,68,155,0.248,16
334,Enzo Hernandez,RightHanded,68,155,0.224,2
410,Larvell Blanks,RightHanded,68,167,0.253,20
511,Roberto Pena,RightHanded,68,170,0.245,13
523,Ron Theobald,RightHanded,68,165,0.248,2
761,Curt Motton,RightHanded,68,164,0.213,25
181,Al Bumbry,LeftHanded,68,170,0.281,54
245,Jim French,LeftHanded,68,180,0.196,5
661,Rich Coggins,LeftHanded,68,170,0.265,12
828,Sandy Valdespino,LeftHanded,68,170,0.23,7
13,Juan Bonilla,RightHanded,69,170,0.256,7
33,Gene Clines,RightHanded,69,170,0.277,5
73,Cesar Tovar,RightHanded,69,155,0.278,46
91,Elio Chacon,RightHanded,69,160,0.232,4
162,Darryl Motley,RightHanded,69,196,0.243,44
192,Bucky Dent,RightHanded,69,170,0.247,40
275,Mike Tyson,RightHanded,69,170,0.241,27
279,Glenn Hubbard,RightHanded,69,150,0.244,70
306,Mike Sadek,RightHanded,69,165,0.226,5
335,Cesar Gutierrez,RightHanded,69,155,0.235,0
360,Luis Alvarado,RightHanded,69,162,0.214,5
465,Lenn Sakata,RightHanded,69,160,0.23,25
770,Luis Aguayo,RightHanded,69,173,0.236,37
777,Lynn Jones,RightHanded,69,175,0.252,7
779,Ken Suarez,RightHanded,69,175,0.227,5
855,Tommy Harper,RightHanded,69,165,0.257,146
915,Bill Sample,RightHanded,69,175,0.272,46
989,Davey Lopes,RightHanded,69,170,0.263,155
1040,Jimmie Schaffer,RightHanded,69,170,0.223,11
1056,Gil Garrido,RightHanded,69,150,0.237,1
1086,Mick Kelleher,RightHanded,69,176,0.213,0
1142,Luis Gomez,RightHanded,69,150,0.21,0
4,Denny Doyle,LeftHanded,69,175,0.25,16
113,Floyd Robinson,LeftHanded,69,175,0.283,67
195,Tony Gonzalez,LeftHanded,69,170,0.286,103
548,Matty Alou,LeftHanded,69,160,0.307,31
570,Boots Day,LeftHanded,69,160,0.256,8
658,Sonny Jackson,LeftHanded,69,150,0.251,7
822,Jerry Turner,LeftHanded,69,180,0.257,45
919,Rudy Meoli,LeftHanded,69,165,0.212,2
1150,Jerry Remy,LeftHanded,69,165,0.275,7
5,Jose Cardenal,RightHanded,70,150,0.275,138
18,Buck Martinez,RightHanded,70,190,0.225,58
54,Ted Ford,RightHanded,70,180,0.219,17
77,Rich Rollins,RightHanded,70,185,0.269,77
79,Merv Rettenmund,RightHanded,70,190,0.271,66
94,Larry Brown,RightHanded,70,160,0.233,47
104,Tom Brookens,RightHanded,70,165,0.246,71
119,Wayne Comer,RightHanded,70,175,0.229,16
157,Cookie Rojas,RightHanded,70,160,0.263,54
173,Chico Salmon,RightHanded,70,160,0.249,31
205,Chuck Schilling,RightHanded,70,160,0.239,23
232,Larry Cox,RightHanded,70,178,0.221,12
242,Angel Mangual,RightHanded,70,178,0.245,22
244,Mike Hershberger,RightHanded,70,175,0.252,26
255,Aurelio Rodriguez,RightHanded,70,180,0.237,124
271,Craig Robinson,RightHanded,70,165,0.219,0
311,Vic Correll,RightHanded,70,185,0.229,29
336,Coco Laboy,RightHanded,70,165,0.233,28
364,Jim Pankovits,RightHanded,70,170,0.25,9
383,Dave Chalk,RightHanded,70,175,0.252,15
399,Gene Alley,RightHanded,70,160,0.254,55
400,Ted Sizemore,RightHanded,70,165,0.262,23
422,Pedro Garcia,RightHanded,70,175,0.22,37
433,Bobby Klaus,RightHanded,70,170,0.208,6
444,Bombo Rivera,RightHanded,70,187,0.265,10
